order,species_id,zh_name,en_name,category,role,file_sha256,rgba8_pixel_sha256
1,rescue_blue_eye_bristletooth_tang,蓝眼食苔吊,Blue-Eye Bristletooth Tang,fish,active,72726f5f9c20c857eeccbd2e5ad9c358631994cf91338b4b7d4251fc8e9c8300,555e618e14e300d14900167062c190b74435d9f26e93443bc0bfcce1a49491cb
2,rescue_eight_line_flasher_wrasse,八线龙,Eight-Line Flasher Wrasse,fish,active,0dd0c14dadec68b1c38e90cb3b485288507476472e349b705b71d674d358e4a8,7530d414ccc120e54788f0b192c7a9e898d9a8dff33cb28a5af8e3cf4aab865c
3,rescue_bicolor_angelfish,双色神仙,Bicolor Angelfish,fish,active,834efd0620abc7cabd09500dd0db45284e37660d73e21d9c5c6f9612296e7d85,9075fb3b2ff7975fd1329f67f9c60c3647439d0a13e0d0a72e3913a10e948085
4,rescue_green_star_polyp,荧光绿草皮,Green Star Polyp,coral,active,b5f71cc67dfca172987f10e143ddaa06672e162344e5342ff8d25e14e3314f41,b67c66fe63e40be1a25e4ea3e6ea0d7d86c020cec7b890f76f266db3e5a1d9f4
5,rescue_pulsing_xenia,闪千手,Pulsing Xenia,coral,active,9e1df506ac570de00346acc77e74cbf94b3ad017874bef632a46ea61626f90a9,d098ddbe5559cfafa6ef0e2d7e84ee5392d76b08928169a0bb5b2ce9dad6e212
6,rescue_golden_brain_coral,金菊脑,Golden Brain Coral,coral,active,16ef829d4b1e8f5be0c7afbd96f27a2abeb5fd81c7c7ea22bc275ad532392bcd,66ba9113655df6b88d6b994864c361034673e75be11e3f98869b78fbf31846df
7,rescue_yellow_coris_wrasse,黄龙,Yellow Coris Wrasse,fish,reserved,c47acd9614e213c0d15e46bd91b2f1e669c904a4b3197c6e1b7185031f564d77,62c11061b32be98466b0b5c8925c8bb8f716f8973e142f5c58142ea13f834b1f
8,rescue_mountain_gold_green_euphyllia,山脉金绿猪腰,Mountain Gold-Green Euphyllia,coral,reserved,79132e09cb5550ceca414352fa92c0829acb7a4af1caed64c561e0344260d4c1,3fd4be267dd6f13ddfabc65920f8501f960fb4018fd36c3ea71ad15052d58eff
9,rescue_holy_grail_matchstick_coral,圣杯火柴珊瑚,Holy Grail Matchstick Coral,coral,reserved,12aeb0870a3cffe04a0555cc68ef7d8f394acd9e3c2433d87ed0ba9c455e4d11,f241fcf5d15b0cf514ecb2e613e595fb4a2be507221131b5456e3fa2a7704e8e
